City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
296,Urumqi,CN,303.68,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
298,Dallas,US,306.14,clear sky,32.7668,-96.7836,CANVAS Hotel | Dallas
307,Saint George,US,304.56,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
313,Bethel,US,300.98,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
321,Statesboro,US,303.89,clear sky,32.4488,-81.7832,"Holiday Inn Statesboro-University Area, an IHG Hotel"
325,Cayenne,GF,302.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
328,Minudasht,IR,303.77,clear sky,37.2289,55.3747,Esteghlal Hotel Minoudasht
330,Kollo,NE,304.76,overcast clouds,13.3043,2.339,
337,Butaritari,KI,301.69,clear sky,3.0707,172.7902,Isles Sunset Lodge
339,Georgetown,MY,303.09,few clouds,5.4112,100.3354,Cititel Penang
347,Negotin,RS,301.49,overcast clouds,44.2264,22.5308,Хотел Београд
355,San Cristobal,VE,300.25,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
364,Ponta Do Sol,PT,301.32,clear sky,32.6667,-17.1,Hotel do Campo
372,Pampa,US,304.68,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
381,Hami,CN,306.79,scattered clouds,42.8,93.45,Laoyutang Resort
386,Narasannapeta,IN,302.09,broken clouds,18.4167,84.05,G.lingaraju home
390,Maceio,BR,300.84,scattered clouds,-9.6658,-35.7353,Poutur Pousada
393,Alizai,PK,305.63,clear sky,33.5383,70.3462,Alizai Rest House
394,Hisar,IN,307.52,overcast clouds,29.1667,75.7167,OYO 69533 Hotel Diamond Star
396,Sigli,ID,300.69,broken clouds,5.3848,95.9609,Losmen Dua Mali
406,Chor,PK,305.19,scattered clouds,25.5167,69.7667,Asad U Bajeer Hotel
408,Kampene,CD,300.86,clear sky,-3.6,26.6667,Paroisse catholique Kampene
422,Banda Aceh,ID,300.55,overcast clouds,5.5577,95.3222,Sulthan Hotel International
425,Chardara,KZ,305.77,clear sky,41.2547,67.9692,Жанаргул
426,Bac Lieu,VN,300.17,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
436,San Cristobal,VE,300.25,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
442,Mana,GF,303.74,broken clouds,5.6592,-53.7767,LE SAMANA
444,San Patricio,US,305.2,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
445,Mazatlan,MX,302.05,clear sky,23.2167,-106.4167,Hotel Playamar
467,Esfarayen,IR,303.75,clear sky,37.0765,57.5101,دفتر ازدواج 65 : سردفتر ابراهیم برغمدی
470,Mamallapuram,IN,304.18,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
489,Georgetown,MY,303.09,few clouds,5.4112,100.3354,Cititel Penang
491,Westport,US,302.34,clear sky,41.1415,-73.3579,The Westport Inn
493,Madison,US,304.79,haze,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
495,Kavieng,PG,301.11,clear sky,-2.5744,150.7967,Nusa Island Retreat
499,San Patricio,US,305.2,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
531,Ponta Do Sol,PT,301.32,clear sky,32.6667,-17.1,Hotel do Campo
534,Roma,US,300.07,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
553,Katsuura,JP,300.43,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
556,Manicore,BR,308.38,broken clouds,-5.8092,-61.3003,Hotel Durval
560,Bulungu,CD,308.88,clear sky,-4.55,18.6,
573,Ponta Do Sol,PT,301.32,clear sky,32.6667,-17.1,Hotel do Campo
575,Donskoye,RU,301.32,scattered clouds,45.4552,41.9741,
591,Moussoro,TD,304.64,overcast clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
600,Butaritari,KI,301.69,clear sky,3.0707,172.7902,Isles Sunset Lodge
614,Kavieng,PG,301.11,clear sky,-2.5744,150.7967,Nusa Island Retreat
615,San Patricio,US,305.2,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
616,Bethel,US,300.98,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
617,Talaja,IN,301.54,broken clouds,21.35,72.05,Velvettas Resorts
632,Huron,US,300.84,overcast clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
633,Presidencia Roque Saenz Pena,AR,305.15,scattered clouds,-26.7852,-60.4388,Hotel Gualok
634,Georgetown,MY,303.09,few clouds,5.4112,100.3354,Cititel Penang
655,Salinopolis,BR,302.32,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
659,Bethel,US,300.98,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
660,Huntington,US,302.62,clear sky,38.4193,-82.4452,Ramada Limited Huntington
676,Itoman,JP,300.36,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
677,Khiri Mat,TH,300.9,overcast clouds,16.8333,99.8,ปั้นดินรีสอร์ท สุโขทัย
690,Ponta Do Sol,PT,301.32,clear sky,32.6667,-17.1,Hotel do Campo
704,Coahuayana,MX,303.86,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
711,Alta Floresta,BR,308.34,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
717,Butaritari,KI,301.69,clear sky,3.0707,172.7902,Isles Sunset Lodge
718,Labrea,BR,308.5,scattered clouds,-7.2586,-64.7981,Hotel Novo Horizonte
719,Amapa,BR,304.48,few clouds,1.0,-52.0,
720,Saharsa,IN,301.26,clear sky,25.8833,86.6,SPOT ON 61627 Golden Plaza SPOT
732,Kalmunai,LK,301.85,overcast clouds,7.4167,81.8167,VS Villa
737,Ribas Do Rio Pardo,BR,305.39,clear sky,-20.4431,-53.7592,Pousada Avenida
753,Bara,NG,301.79,light rain,10.3744,10.7288,
754,Ponta Do Sol,PT,301.32,clear sky,32.6667,-17.1,Hotel do Campo
762,Kavaratti,IN,300.91,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
764,Butaritari,KI,301.69,clear sky,3.0707,172.7902,Isles Sunset Lodge
767,Georgetown,MY,303.09,few clouds,5.4112,100.3354,Cititel Penang
773,Porbandar,IN,301.39,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
774,Sokolo,ML,308.97,overcast clouds,14.7328,-6.1219,
777,Touros,BR,302.86,few clouds,-5.1989,-35.4608,INN NEW HORIZON
795,Guadalupe,MX,304.61,clear sky,25.6833,-100.25,Fiesta Inn Monterrey Fundidora
809,Mamallapuram,IN,304.18,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
817,Victoria,HK,303.36,overcast clouds,22.2855,114.1577,Mini Hotel Central
827,Podor,MR,309.61,scattered clouds,16.6527,-14.9587,Auberge Du Tékrour
832,Cayenne,GF,302.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
833,Cam Ranh,VN,303.13,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
836,Touros,BR,302.86,few clouds,-5.1989,-35.4608,INN NEW HORIZON
841,Dakar,SN,303.64,broken clouds,14.6937,-17.4441,Redface Studios Meublés
847,Canutama,BR,302.76,broken clouds,-6.5339,-64.3831,Hotel Jhennifer
849,Labuan,MY,301.24,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
850,Barroquinha,BR,306.03,scattered clouds,-3.0189,-41.1361,Pousada Fontenele
855,Koundara,GN,301.85,moderate rain,12.4833,-13.3,
860,Ejea De Los Caballeros,ES,305.86,overcast clouds,42.1263,-1.1372,Hotel Ciudad De Ejea
879,Bethel,US,300.98,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
884,Manggar,ID,301.23,clear sky,-2.8833,108.2667,Guest Hotel
887,Hamilton,US,302.59,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
892,Atbasar,KZ,300.18,overcast clouds,51.8,68.3333,"The Ritz-Carlton, Astana"
905,Butaritari,KI,301.69,clear sky,3.0707,172.7902,Isles Sunset Lodge
