City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
1684,Kapaa,US,22.0752,-159.319,301.33,77,90,1.79,Rain
1685,Sayanogorsk,RU,53.0875,91.3997,290.94,94,82,1.6,Clouds
1686,Ushuaia,AR,-54.8,-68.3,275.96,81,40,4.12,Clouds
1687,Exu,BR,-7.5119,-39.7242,298.38,60,13,2.81,Clouds
1688,Mataura,NZ,-46.1927,168.8643,282.3,72,43,1.48,Clouds
1689,Uchiza,PE,-8.4592,-76.4633,296.99,76,2,1.34,Clear
1690,Jamestown,US,42.097,-79.2353,298.06,55,1,0.89,Clear
1691,Ushuaia,AR,-54.8,-68.3,275.96,81,40,4.12,Clouds
1692,Severnoye,RU,56.3491,78.3619,289.68,83,48,1.94,Clouds
1693,Hermanus,ZA,-34.4187,19.2345,282.54,74,0,4.77,Clear
1694,Sabang,ID,5.8933,95.3214,301.68,76,100,9.23,Clouds
1695,Samarai,PG,-10.6167,150.6667,299.99,85,71,4.05,Clouds
1696,Kisangani,CD,0.5167,25.2,296.32,78,95,1.04,Clouds
1697,Nikolskoye,RU,59.7035,30.7861,289.71,61,96,1.6,Clouds
1698,Bredasdorp,ZA,-34.5322,20.0403,282.77,76,0,4.63,Clear
1699,Mataura,NZ,-46.1927,168.8643,282.3,72,43,1.48,Clouds
1700,Albany,US,42.6001,-73.9662,298.47,57,45,2.72,Clouds
1701,Miri,MY,4.4148,114.0089,298.23,94,40,0.0,Clouds
1702,Grand Gaube,MU,-20.0064,57.6608,293.37,79,43,1.79,Clouds
1703,Bukachacha,RU,52.9833,116.9167,288.63,94,74,1.23,Rain
1704,Cape Town,ZA,-33.9258,18.4232,282.74,68,0,1.03,Clear
1705,Nikolskoye,RU,59.7035,30.7861,289.71,61,96,1.6,Clouds
1706,Port Elizabeth,ZA,-33.918,25.5701,280.31,87,90,0.0,Clouds
1707,Punta Arenas,CL,-53.15,-70.9167,276.21,87,40,8.75,Rain
1708,Dikson,RU,73.5069,80.5464,280.33,70,99,6.38,Clouds
1709,Barrow,US,71.2906,-156.7887,276.16,87,90,7.72,Rain
1710,Mataura,NZ,-46.1927,168.8643,282.3,72,43,1.48,Clouds
1711,Vila Velha,BR,-20.3297,-40.2925,294.12,64,0,1.54,Clear
1712,West Wendover,US,40.7391,-114.0733,307.71,23,1,3.09,Clear
1713,Dikson,RU,73.5069,80.5464,280.33,70,99,6.38,Clouds
1714,Bredasdorp,ZA,-34.5322,20.0403,282.77,76,0,4.63,Clear
1715,Vaini,TO,-21.2,-175.2,299.24,89,40,3.09,Clouds
1716,Lebu,CL,-37.6167,-73.65,283.13,83,100,6.93,Clouds
1717,Hovd,MN,48.0056,91.6419,292.68,54,18,1.65,Clouds
1718,Pisco,PE,-13.7,-76.2167,290.18,77,75,8.23,Clouds
1719,Nanortalik,GL,60.1432,-45.2371,279.11,87,37,4.83,Clouds
1720,Atuona,PF,-9.8,-139.0333,298.39,76,40,5.11,Clouds
1721,Sandwick,GB,60.0,-1.25,285.05,87,90,3.09,Clouds
1722,Leshukonskoye,RU,64.8989,45.7622,275.87,91,6,2.21,Clear
1723,Rikitea,PF,-23.1203,-134.9692,295.0,59,71,6.07,Clouds
1724,Sitka,US,57.0531,-135.33,287.09,88,75,4.63,Rain
1725,Albany,US,42.6001,-73.9662,298.47,57,45,2.72,Clouds
1726,Meulaboh,ID,4.1363,96.1285,297.89,88,100,1.86,Clouds
1727,Asyut,EG,27.181,31.1837,303.25,28,0,4.21,Clear
1728,Jamestown,US,42.097,-79.2353,298.06,55,1,0.89,Clear
1729,Atuona,PF,-9.8,-139.0333,298.39,76,40,5.11,Clouds
1730,Sola,VU,-13.8833,167.55,299.89,80,79,7.83,Clouds
1731,Kahului,US,20.8947,-156.47,303.16,74,40,12.35,Clouds
1732,Betioky,MG,-23.7167,44.3833,290.19,56,83,3.47,Clouds
1733,Faanui,PF,-16.4833,-151.75,298.83,67,10,6.2,Clear
1734,Baharampur,IN,24.1,88.25,299.15,94,98,5.39,Clouds
1735,Mataura,NZ,-46.1927,168.8643,282.3,72,43,1.48,Clouds
1736,Nikolskoye,RU,59.7035,30.7861,289.71,61,96,1.6,Clouds
1737,Port Blair,IN,11.6667,92.75,300.6,83,100,8.76,Rain
1738,Umm Kaddadah,SD,13.6017,26.6876,303.85,44,75,5.71,Clouds
1739,Yellowknife,CA,62.456,-114.3525,294.44,77,75,0.45,Rain
1740,Misratah,LY,32.3754,15.0925,299.46,75,0,4.19,Clear
1741,Ushuaia,AR,-54.8,-68.3,275.96,81,40,4.12,Clouds
1742,Straumen,NO,63.8709,11.2999,285.65,92,94,1.45,Clouds
1743,Vilnius,LT,54.6892,25.2798,292.64,82,0,2.57,Clear
1744,Faanui,PF,-16.4833,-151.75,298.83,67,10,6.2,Clear
1745,Hasaki,JP,35.7333,140.8333,299.42,78,0,1.59,Clear
1746,Honiara,SB,-9.4333,159.95,302.18,69,83,1.89,Clouds
1747,Qaanaaq,GL,77.484,-69.3632,278.91,62,23,1.72,Clouds
1748,Rikitea,PF,-23.1203,-134.9692,295.0,59,71,6.07,Clouds
1749,San Cristobal,VE,7.7669,-72.225,301.25,93,100,1.78,Clouds
1750,Rikitea,PF,-23.1203,-134.9692,295.0,59,71,6.07,Clouds
1751,Amapa,BR,1.0,-52.0,296.23,82,60,1.36,Clouds
